,Address,Country,Flipped_Lat,Flipped_Lng,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
16,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina",Argentina,,,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina",-34.5121516,-58.5248182,,ARG,17.0,0.0,Los Pereyras,0.0,-34.5121516,-58.524818200000006,South America,Geocoded,,
17,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan",Azerbaijan,,,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan",40.58189255,49.6918518562582,,AZE,19.0,0.0,"Zakatala, City",0.0,40.58189255,49.691851856258204,,Geocoded,,
18,"Dinajpur, 5216, Rangpur Division, Bangladesh",Bangladesh,,,"Dinajpur, 5216, Rangpur Division, Bangladesh",25.6260712,88.6346228,,BGD,1227.0,0.0,Dinajpur,0.0,25.6260712,88.6346228,Asia,Geocoded,,20.0
19,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh",Bangladesh,,,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh",25.6422313,88.6462899,,BGD,21.0,0.0,"Ars, Rajbari, Dinajpur",0.0,25.6422313,88.64628990000001,Asia,Geocoded,,
20,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh",Bangladesh,,,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh",25.754379999999998,89.24997547234628,,BGD,22.0,0.0,"Ars. Burirhat, Rangpur",0.0,25.75438,89.24997547234629,Asia,Geocoded,,
21,"Bogra, 5800, Rajshahi Division, Bangladesh",Bangladesh,,,"Bogra, 5800, Rajshahi Division, Bangladesh",24.8480859,89.3729529,,BGD,23.0,0.0,Bogra,0.0,24.8480859,89.37295290000002,Asia,Geocoded,,
22,"Gazipur, 1702, Dhaka Division, Bangladesh",Bangladesh,,,"Gazipur, 1702, Dhaka Division, Bangladesh",23.9980797,90.4229848,,BGD,25.0,0.0,Gazipur,0.0,23.998079699999998,90.4229848,Asia,Geocoded,,
23,"Gazipur, 1702, Dhaka Division, Bangladesh",Bangladesh,,,"Gazipur, 1702, Dhaka Division, Bangladesh",23.9980797,90.4229848,,BGD,32.0,0.0,"Joydebpur, Gazipur",0.0,23.998079699999998,90.4229848,Asia,Geocoded,,
24,"Rajbari District, Dhaka Division, Bangladesh",Bangladesh,,,"Rajbari District, Dhaka Division, Bangladesh",23.73987245,89.57039201261236,,BGD,34.0,0.0,Rajbari,0.0,23.73987245,89.57039201261236,Asia,Geocoded,,
25,"Jamalpur- Madarganj Rd, 2000, Char Banipakuri, Mymensingh Division, Bangladesh",Bangladesh,,,"Jamalpur- Madarganj Rd, 2000, Char Banipakuri, Mymensingh Division, Bangladesh",24.9186204,89.8959517,,BGD,35.0,0.0,"Rars, Bari, Jamalpur",0.0,24.9186204,89.8959517,Asia,Geocoded,,
26,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize",Belize,,,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize",17.2481986,-88.7647713,,BLZ,36.0,0.0,"Belmopan, Cardi Station",0.0,17.248198600000002,-88.76477129999999,Central America and Caribbean,Geocoded,,
27,"Bolivia, Bolivia",Bolivia,,,"Bolivia, Bolivia",-17.0568696,-64.9912286,,BOL,41.0,0.0,Bolivia,0.0,-17.056869600000002,-64.9912286,South America,Geocoded,,
28,"Municipio El Torno, Santa Cruz, Bolivia",Bolivia,,,"Municipio El Torno, Santa Cruz, Bolivia",-18.0342451,-63.45006110158694,,BOL,46.0,0.0,El Abra (santa Cruz),0.0,-18.0342451,-63.45006110158693,South America,Geocoded,,
29,"El Palmar, Santa Cruz, Bolivia",Bolivia,,,"El Palmar, Santa Cruz, Bolivia",-17.0793079,-64.3090184,,BOL,47.0,0.0,El Palmar (santa Cruz),0.0,-17.0793079,-64.3090184,South America,Geocoded,,
30,"Municipio Entre Ríos, +591, Cochabamba, Bolivia",Bolivia,,,"Municipio Entre Ríos, +591, Cochabamba, Bolivia",-17.3054892,-64.44148087663636,,BOL,49.0,0.0,Entre Rios,0.0,-17.3054892,-64.44148087663636,South America,Geocoded,,
31,"Fundación Cristo Vive Bolivia, Calle Jose Eduardo Guerra, 447, Calle Jose Eduardo Guerra, Cochabamba, Cochabamba, Bolivia",Bolivia,,,"Fundación Cristo Vive Bolivia, Calle Jose Eduardo Guerra, 447, Calle Jose Eduardo Guerra, Cochabamba, Cochabamba, Bolivia",-17.3462403,-66.1577497,,BOL,50.0,0.0,Fundacion Proinpa,0.0,-17.3462403,-66.1577497,South America,Geocoded,,
32,"Parque Regional y Área Natural de Manejo Integrado Lomas de Arena, Camino Nuevo Palmar, Camino Nuevo Palmar, Municipio La Guardia, Santa Cruz, Bolivia",Bolivia,,,"Parque Regional y Área Natural de Manejo Integrado Lomas de Arena, Camino Nuevo Palmar, Camino Nuevo Palmar, Municipio La Guardia, Santa Cruz, Bolivia",-17.9548566,-63.145631662945014,,BOL,52.0,0.0,Lomas De Arena (santa Cruz),0.0,-17.954856600000003,-63.145631662945,South America,Geocoded,,
33,"Municipio Mairana, Santa Cruz, Bolivia",Bolivia,,,"Municipio Mairana, Santa Cruz, Bolivia",-17.89881405,-64.03835736267116,,BOL,53.0,0.0,"Mairana, Santa Cruz",0.0,-17.89881405,-64.03835736267115,South America,Geocoded,,
34,"Municipio Monteagudo, Chuquisaca, Bolivia",Bolivia,,,"Municipio Monteagudo, Chuquisaca, Bolivia",-20.00271135,-64.08909541853487,,BOL,54.0,0.0,Monteagudo,0.0,-20.00271135,-64.08909541853487,South America,Geocoded,,
35,"Pajonal, Tarija, Bolivia",Bolivia,,,"Pajonal, Tarija, Bolivia",-21.4852164,-64.1684128,,BOL,58.0,0.0,Pajonal,0.0,-21.4852164,-64.1684128,South America,Geocoded,,
36,"Provincia Saavedra, Potosí, Bolivia",Bolivia,,,"Provincia Saavedra, Potosí, Bolivia",-19.25,-65.5,,BOL,59.0,0.0,Saavedra,0.0,-19.25,-65.5,South America,Geocoded,,
37,"Municipio San Ignacio, Beni, Bolivia",Bolivia,,,"Municipio San Ignacio, Beni, Bolivia",-15.28290925,-65.61426114395618,,BOL,60.0,0.0,San Ignacio,0.0,-15.28290925,-65.61426114395618,South America,Geocoded,,
38,"Municipio Cuatro Cañadas, 3391, Santa Cruz, Bolivia",Bolivia,,,"Municipio Cuatro Cañadas, 3391, Santa Cruz, Bolivia",-17.2762404,-62.174923340622634,,BOL,62.0,0.0,Santa Cruz (cuatro Caminos),0.0,-17.2762404,-62.17492334062264,South America,Geocoded,,
39,"Santa Cruz de la Sierra, 3212, Santa Cruz, Bolivia",Bolivia,,,"Santa Cruz de la Sierra, 3212, Santa Cruz, Bolivia",-17.7836009,-63.182206,,BOL,63.0,0.0,Santa Cruz De La Sierra,0.0,-17.7836009,-63.18220600000001,South America,Geocoded,,
40,"UAGRM El Vallecito, Avenida Milton Parra P, Avenida Milton Parra P, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",Bolivia,,,"UAGRM El Vallecito, Avenida Milton Parra P, Avenida Milton Parra P, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",-17.6977599,-63.14502191551192,,BOL,64.0,0.0,Santa Cruz De La Sierra (el Vallecito),0.0,-17.697759899999998,-63.145021915511926,South America,Geocoded,,
41,"Tarija, 0601, Tarija, Bolivia",Bolivia,,,"Tarija, 0601, Tarija, Bolivia",-21.5340695,-64.7344181,,BOL,65.0,0.0,Tarija,0.0,-21.5340695,-64.7344181,South America,Geocoded,,
42,"Valle del Medio, Tarija, Bolivia",Bolivia,,,"Valle del Medio, Tarija, Bolivia",-21.6080069,-64.1462676,,BOL,66.0,0.0,Valle Del Medio,0.0,-21.6080069,-64.1462676,South America,Geocoded,,
43,"Vallecito de Rio Piedras, 0601, Tarija, Bolivia",Bolivia,,,"Vallecito de Rio Piedras, 0601, Tarija, Bolivia",-21.7845317,-64.4019332,,BOL,67.0,0.0,Vallecitos (iboperenda),0.0,-21.7845317,-64.4019332,South America,Geocoded,,
44,"Yacuiba, Tarija, Bolivia",Bolivia,,,"Yacuiba, Tarija, Bolivia",-22.0136146,-63.677608,,BOL,69.0,0.0,Yacuiba,0.0,-22.0136146,-63.677608,South America,Geocoded,,
45,"Zona 4x4, Avenida Antonio Vaca Diez, 3212, Avenida Antonio Vaca Diez, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",Bolivia,,,"Zona 4x4, Avenida Antonio Vaca Diez, 3212, Avenida Antonio Vaca Diez, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",-17.750428,-63.18790697531949,,BOL,70.0,0.0,Zona Norte De Santa Cruz,0.0,-17.750428,-63.18790697531949,South America,Geocoded,,
46,"Brazil, Brazil",Brazil,,,"Brazil, Brazil",-10.3333333,-53.2,,BRA,78.0,0.0,Brazil,0.0,-10.333333300000001,-53.2,South America,Geocoded,,
47,"Campo Largo, Bahia, Brazil",Brazil,,,"Campo Largo, Bahia, Brazil",-10.3926525,-41.4194351,,BRA,79.0,0.0,Campo Largo - Pr,0.0,-10.392652499999999,-41.4194351,South America,Geocoded,,
48,"Honghe County, Yunnan, China",China,,,"Honghe County, Yunnan, China",23.234737,102.301136,,CHN,97.0,0.0,Honghe,0.0,23.234737,102.301136,Asia,Geocoded,,
49,"Yangjia River, 723000, Mian, Shaanxi, China",China,,,"Yangjia River, 723000, Mian, Shaanxi, China",33.1051332,106.686846,,CHN,101.0,0.0,Mian Yang,0.0,33.1051332,106.686846,Asia,Geocoded,,
50,"Aguas Blancas., Antioquia, Colombia",Colombia,,,"Aguas Blancas., Antioquia, Colombia",6.9003599,-75.7235025,,COL,109.0,0.0,Aguas Blancas,0.0,6.9003599,-75.72350250000001,South America,Geocoded,,
51,"Aguas Claras, 250070, Cundinamarca, Colombia",Colombia,,,"Aguas Claras, 250070, Cundinamarca, Colombia",4.491881,-74.2414786,,COL,110.0,0.0,Aguas Claras,0.0,4.491880999999999,-74.2414786,South America,Geocoded,,
52,"Colombia, Colombia",Colombia,,,"Colombia, Colombia",2.8894434,-73.783892,,COL,111.0,0.0,Andremoni,0.0,2.8894433999999998,-73.78389200000001,South America,Geocoded,,
53,"Colombia, Colombia",Colombia,,,"Colombia, Colombia",2.8894434,-73.783892,,COL,112.0,0.0,Arborates,0.0,2.8894433999999998,-73.78389200000001,South America,Geocoded,,
54,"Dagua, Valle del Cauca, Colombia",Colombia,,,"Dagua, Valle del Cauca, Colombia",3.65186675,-76.72289271511232,,COL,114.0,0.0,"Atuncela, Dagua",0.0,3.65186675,-76.72289271511231,South America,Geocoded,,
55,"Bucaramanga, Santander, Colombia",Colombia,,,"Bucaramanga, Santander, Colombia",7.1114611,-73.1172869,,COL,115.0,0.0,Bucaramanga,0.0,7.111461099999999,-73.11728690000001,South America,Geocoded,,
56,"Bucaramanga, Santander, Colombia",Colombia,,,"Bucaramanga, Santander, Colombia",7.1114611,-73.1172869,,COL,116.0,0.0,"Bucaramanga, Pinchote",0.0,7.111461099999999,-73.11728690000001,South America,Geocoded,,
57,"Vía Mediacanoa - Buga, Yotoco, Valle del Cauca, Colombia",Colombia,,,"Vía Mediacanoa - Buga, Yotoco, Valle del Cauca, Colombia",3.8922119,-76.368673,,COL,118.0,0.0,"Buga, Media Canoa",0.0,3.8922119,-76.368673,South America,Geocoded,,
58,"Caicedonia, Valle del Cauca, Colombia",Colombia,,,"Caicedonia, Valle del Cauca, Colombia",4.3080642000000005,-75.83980499303324,,COL,119.0,0.0,Caicedonia,0.0,4.3080642000000005,-75.83980499303324,South America,Geocoded,,
59,"Caldono, Cauca, Colombia",Colombia,,,"Caldono, Cauca, Colombia",2.796326,-76.4836526,,COL,120.0,0.0,Caldono,0.0,2.7963259999999996,-76.4836526,South America,Geocoded,,
60,"Campo Alegre Airport, Huila, Colombia",Colombia,,,"Campo Alegre Airport, Huila, Colombia",2.663056,-75.34,,COL,122.0,0.0,"Campo Alegre, Huila",0.0,2.663056,-75.34,South America,Geocoded,,
61,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia",Colombia,,,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia",8.7241403,-75.6877463,,COL,123.0,0.0,Ca╤a Flecha,0.0,8.7241403,-75.6877463,South America,Geocoded,,
62,"El Carmen de Bolívar, Bolívar, Colombia",Colombia,,,"El Carmen de Bolívar, Bolívar, Colombia",9.7178623,-75.1238318,,COL,124.0,0.0,Carmen De Bolivar,0.0,9.7178623,-75.12383179999999,South America,Geocoded,,
63,"Cereté, Córdoba, Colombia",Colombia,,,"Cereté, Córdoba, Colombia",8.8884178,-75.84239456572658,,COL,125.0,0.0,"Cerete, Cordoba",0.0,8.888417800000001,-75.84239456572658,South America,Geocoded,,
64,"Cerrito, Santander, Colombia",Colombia,,,"Cerrito, Santander, Colombia",6.8435992,-72.6939627,,COL,126.0,0.0,Cerrito,0.0,6.8435992,-72.6939627,South America,Geocoded,,
65,"Río de Oro, Norte de Santander, Colombia",Colombia,,,"Río de Oro, Norte de Santander, Colombia",9.1108885,-72.8089164,,COL,127.0,0.0,Cienega De Oro,0.0,9.1108885,-72.80891640000002,South America,Geocoded,,
66,"Ciudad Bolívar, Antioquia, Colombia",Colombia,,,"Ciudad Bolívar, Antioquia, Colombia",5.8500342,-76.0208666,,COL,128.0,0.0,Ciudad Bolivar,0.0,5.8500342000000005,-76.02086659999999,South America,Geocoded,,
67,"Colombia, Colombia",Colombia,,,"Colombia, Colombia",2.8894434,-73.783892,,COL,129.0,0.0,Colombia,0.0,2.8894433999999998,-73.78389200000001,South America,Geocoded,,
68,"Córdoba, Colombia",Colombia,,,"Córdoba, Colombia",8.3344713,-75.6666238,,COL,130.0,0.0,Cordoba,0.0,8.3344713,-75.6666238,South America,Geocoded,,
69,"Corozal, Valle del Cauca, Colombia",Colombia,,,"Corozal, Valle del Cauca, Colombia",4.3988856,-75.9180591,,COL,131.0,0.0,Corozal,0.0,4.3988856,-75.9180591,South America,Geocoded,,
70,"Darién, Valle del Cauca, Colombia",Colombia,,,"Darién, Valle del Cauca, Colombia",3.9318186,-76.4842408,,COL,132.0,0.0,"Darien, Valle Del Cauca",0.0,3.9318186,-76.4842408,South America,Geocoded,,
71,"Duitama, 150461, Boyacá, Colombia",Colombia,,,"Duitama, 150461, Boyacá, Colombia",5.8277055,-73.0338939,,COL,133.0,0.0,Duitama,0.0,5.8277055,-73.0338939,South America,Geocoded,,
72,"Mesetas De El Espinal, 73168, Tolima, Colombia",Colombia,,,"Mesetas De El Espinal, 73168, Tolima, Colombia",3.6461987,-75.3992722,,COL,135.0,0.0,"El Espinal, Tolima",0.0,3.6461987000000002,-75.39927220000001,South America,Geocoded,,
73,"El Líbano, Tolima, Colombia",Colombia,,,"El Líbano, Tolima, Colombia",4.9157501,-75.0618177,,COL,136.0,0.0,El Libano,0.0,4.9157500999999995,-75.0618177,South America,Geocoded,,
74,"El Naranjal, Cauca, Colombia",Colombia,,,"El Naranjal, Cauca, Colombia",2.9142726,-76.5053277,,COL,137.0,0.0,El Naranjal,0.0,2.9142726000000003,-76.5053277,South America,Geocoded,,
75,"El Tambor, Resguardo Indigena Gausirumos, Valle del Cauca, Colombia",Colombia,,,"El Tambor, Resguardo Indigena Gausirumos, Valle del Cauca, Colombia",3.7638803,-76.4861177,,COL,139.0,0.0,"El Tambo, Valle Del Cauca",0.0,3.7638803,-76.48611770000001,South America,Geocoded,,
76,"El Tomate, 054, Antioquia, Colombia",Colombia,,,"El Tomate, 054, Antioquia, Colombia",8.4554247,-76.3655876,,COL,140.0,0.0,El Tomate,0.0,8.455424699999998,-76.3655876,South America,Geocoded,,
77,"Fuente de Oro, Meta, Colombia",Colombia,,,"Fuente de Oro, Meta, Colombia",3.4620609,-73.6174321,,COL,141.0,0.0,"Fuente De Oro, Granda",0.0,3.4620608999999996,-73.6174321,South America,Geocoded,,
78,"Garzón, 414020, Huila, Colombia",Colombia,,,"Garzón, 414020, Huila, Colombia",2.1625835,-75.55514449355248,,COL,142.0,0.0,"Garzon, Huila",0.0,2.1625834999999998,-75.55514449355249,South America,Geocoded,,
79,"Granada, Antioquia, Colombia",Colombia,,,"Granada, Antioquia, Colombia",6.1442998,-75.1844057,,COL,143.0,0.0,Granada,0.0,6.1442998,-75.1844057,South America,Geocoded,,
80,"Rio Guadalajara, 042, Valle del Cauca, Colombia",Colombia,,,"Rio Guadalajara, 042, Valle del Cauca, Colombia",3.8884715,-76.2593652,,COL,144.0,0.0,Guadalajara De Buga,0.0,3.8884714999999996,-76.2593652,South America,Geocoded,,
81,"Caldono, Cauca, Colombia",Colombia,,,"Caldono, Cauca, Colombia",2.796326,-76.4836526,,COL,145.0,0.0,"Independencia, Caldono",0.0,2.7963259999999996,-76.4836526,South America,Geocoded,,
82,"Carrera 21 bis, 576, Bostón, Risaralda, Colombia",Colombia,,,"Carrera 21 bis, 576, Bostón, Risaralda, Colombia",4.8023263,-75.6964439,,COL,146.0,0.0,"La Catalina, Pereira",0.0,4.8023263,-75.6964439,South America,Geocoded,,
83,"Rio La Granada, 182010, Caquetá, Colombia",Colombia,,,"Rio La Granada, 182010, Caquetá, Colombia",2.2768381,-74.9559382,,COL,147.0,0.0,"La Cubillera, Granada",0.0,2.2768381,-74.95593819999999,South America,Geocoded,,
84,"La Palomera, Cauca, Colombia",Colombia,,,"La Palomera, Cauca, Colombia",2.9537984,-76.4195252,,COL,148.0,0.0,La Palomera,0.0,2.9537984,-76.4195252,South America,Geocoded,,
85,"12, 12, Puerta Grande, Cauca, Colombia",Colombia,,,"12, 12, Puerta Grande, Cauca, Colombia",2.2551161,-76.90841105000001,,COL,149.0,0.0,"La Trocha 12, Granda",0.0,2.2551161,-76.90841105000001,South America,Geocoded,,
86,"Corcega, Valle del Cauca, Colombia",Colombia,,,"Corcega, Valle del Cauca, Colombia",4.5366453,-76.06681,,COL,151.0,0.0,"La Union, Corcega",0.0,4.5366453,-76.06681,South America,Geocoded,,
87,"Lejania, Huila, Colombia",Colombia,,,"Lejania, Huila, Colombia",2.7688153,-75.649768,,COL,152.0,0.0,"Lejania, Granada",0.0,2.7688153,-75.64976800000001,South America,Geocoded,,
88,"Colombia, Colombia",Colombia,,,"Colombia, Colombia",2.8894434,-73.783892,,COL,153.0,0.0,Matazul,0.0,2.8894433999999998,-73.78389200000001,South America,Geocoded,,
89,"Menegua, Meta, Colombia",Colombia,,,"Menegua, Meta, Colombia",4.1504917,-72.7191616,,COL,154.0,0.0,Menegua,0.0,4.1504917,-72.71916159999999,South America,Geocoded,,
90,"Rio Mondomo, El Arbolito, Cauca, Colombia",Colombia,,,"Rio Mondomo, El Arbolito, Cauca, Colombia",2.8606688,-76.5123296,,COL,155.0,0.0,"Mondomo, Santander",0.0,2.8606688,-76.5123296,South America,Geocoded,,
91,"Neiva, Huila, Colombia",Colombia,,,"Neiva, Huila, Colombia",3.0332673000000003,-75.27944239597832,,COL,157.0,0.0,"Neiva, Huila",0.0,3.0332673000000003,-75.27944239597832,South America,Geocoded,,
92,"MOLINA, Valle del Cauca, Colombia",Colombia,,,"MOLINA, Valle del Cauca, Colombia",4.6220602,-76.0282284,,COL,158.0,0.0,"Obando, Molina",0.0,4.6220602,-76.0282284,South America,Geocoded,,
93,"Armenia, Quindío, Colombia",Colombia,,,"Armenia, Quindío, Colombia",4.4923898,-75.73960166465673,,COL,160.0,0.0,"Paraguaicito, Armenia",0.0,4.4923898,-75.73960166465673,South America,Geocoded,,
94,"Aguachica, Cesar, Colombia",Colombia,,,"Aguachica, Cesar, Colombia",8.24811845,-73.62140380560058,,COL,161.0,0.0,Pelaya-cesar (aguachica),0.0,8.24811845,-73.62140380560058,South America,Geocoded,,
95,"Pereira, 660002, Risaralda, Colombia",Colombia,,,"Pereira, 660002, Risaralda, Colombia",4.8142912,-75.6946451,,COL,162.0,0.0,Pereira,0.0,4.8142912,-75.69464509999999,South America,Geocoded,,
96,"Piendamó, Cauca, Colombia",Colombia,,,"Piendamó, Cauca, Colombia",2.735773,-76.5534967167817,,COL,163.0,0.0,Piendamo,0.0,2.735773,-76.55349671678171,South America,Geocoded,,
97,"Colombia, Colombia",Colombia,,,"Colombia, Colombia",2.8894434,-73.783892,,COL,164.0,0.0,Procampo,0.0,2.8894433999999998,-73.78389200000001,South America,Geocoded,,
98,"Puerto Lopez, Córdoba, Colombia",Colombia,,,"Puerto Lopez, Córdoba, Colombia",7.7933241,-75.8401892,,COL,166.0,0.0,Puerto Lopez,0.0,7.7933240999999995,-75.8401892,South America,Geocoded,,161.0
99,"Montenegro, Quindío, Colombia",Colombia,,,"Montenegro, Quindío, Colombia",4.5664176,-75.7507081,,COL,167.0,0.0,"Quindio, Montenegro",0.0,4.5664176,-75.75070809999998,South America,Geocoded,,
100,"Rivera, Huila, Colombia",Colombia,,,"Rivera, Huila, Colombia",2.7779482,-75.2582697,,COL,168.0,0.0,"Rivera, Huila",0.0,2.7779482000000004,-75.2582697,South America,Geocoded,,
101,"Roldanillo, Valle del Cauca, Colombia",Colombia,,,"Roldanillo, Valle del Cauca, Colombia",4.4440112,-76.16639092634387,,COL,169.0,0.0,Roldanillo,0.0,4.4440112,-76.16639092634388,South America,Geocoded,,
102,"Sabana de Torres, Santander, Colombia",Colombia,,,"Sabana de Torres, Santander, Colombia",7.3939416,-73.4998859,,COL,170.0,0.0,"Sabana De Torres, Santander",0.0,7.3939416,-73.49988590000001,South America,Geocoded,,
103,"Loma Grande, Córdoba, Colombia",Colombia,,,"Loma Grande, Córdoba, Colombia",8.9103343,-75.4817766,,COL,171.0,0.0,Sahagu,0.0,8.9103343,-75.48177659999999,South America,Geocoded,,
104,"San Antonio, Córdoba, Colombia",Colombia,,,"San Antonio, Córdoba, Colombia",7.7017427,-75.6206362,,COL,172.0,0.0,San Antonio,0.0,7.7017427,-75.6206362,South America,Geocoded,,
105,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia), Colombia",Colombia,,,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia), Colombia",12.38051665,-81.6140750764522,,COL,173.0,0.0,San Barreto,0.0,12.38051665,-81.61407507645221,South America,Geocoded,,
106,"Sandoná, Nariño, Colombia",Colombia,,,"Sandoná, Nariño, Colombia",1.2991853500000001,-77.47593481408893,,COL,174.0,0.0,"San Francisco, Sandona",0.0,1.29918535,-77.47593481408893,South America,Geocoded,,
