COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,GRIDCODE,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,PolyCountry,PolyISO2,PolyISO3,Region,SITEID,START,Type,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid,temp_lat,temp_lng
0.0,ANGOLA,,0.0,0.0,581.0,514.0,0.0,AO,AGO,,0.0,0.0,-8.89999961853027,,KILOMBA,0.0,1357,,14.6999998092651,,28.6599998474121,0.0,,19.7999992370605,Wet Lower Mid-altitude,819.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (14.6999998092651 -8.89999961853027),0.0,0.0,,,0.0,0.0,,-8.89999961853027,14.6999998092651
0.0,ANGOLA,,0.0,0.0,576.0,22.0,0.0,AO,AGO,0.0,0.0,0.0,-5.6,,"CABINDA, ST VINCENT",0.0,6,,12.2,,31.1200008392,0.0,,23.4200000763,Dry Lowland,577.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (12.2 -5.6),0.0,0.0,,,0.0,0.0,1422.0,-5.6,12.2
0.0,ANGOLA,,0.0,0.0,576.0,22.0,0.0,AO,AGO,,0.0,0.0,-5.59999990463257,,CABINDA,0.0,1356,,12.1999998092651,,31.1200008392334,0.0,,23.4200000762939,Dry Lowland,577.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (12.1999998092651 -5.59999990463257),0.0,0.0,,,0.0,0.0,,-5.59999990463257,12.1999998092651
429.0,ANGOLA,11 to 12.5,0.0,3.0,576.0,57.0,12.0,AO,AGO,,-6.0,12.1999998092651,-5.57000017166138,,ST. VINCENT,0.0,1359,,12.1999998092651,,31.1800003051758,0.0,>= 24,23.5,Dry Lowland,578.0,Angola,AO,AGO,Eastern and Southern Africa,7.0,12.0,Original,>=200 and <600,POINT (12.1999998092651 -5.57000017166138),0.0,0.0,,,0.0,0.0,,-5.57000017166138,12.1999998092651
0.0,ARGENTINA,,0.0,0.0,758.0,462.0,0.0,AR,ARG,0.0,0.0,0.0,-26.8,26 48S,TUCUMAN,0.0,23,,-65.2,65 12W,29.959999,0.0,,18.16,Dry Mid-altitude,536.0,Argentina,AR,ARG,South America,0.0,11.0,Original,,POINT (-65.2 -26.8),26.0,65.0,S,W,48.0,12.0,29.0,-26.8,-65.2
0.0,BANGLADESH,,0.0,0.0,567.916138,27.0,0.0,BD,BGD,22.0,0.0,0.0,22.5,22 30N,HATHAZARI,0.0,31,,91.78,91 47E,30.911112,0.0,,24.32,Wet Lowland,2305.0,Bangladesh,BD,BGD,Asia,0.0,6.0,Original,,POINT (91.78 22.5),22.0,91.0,N,E,30.0,47.0,1143.0,22.5,91.78
0.0,BANGLADESH,,0.0,0.0,613.752686,12.0,0.0,BD,BGD,49.0,0.0,0.0,23.18,23 11N,JESSORE,0.0,35,,89.17,89 10E,32.295555,0.0,,25.0,Wet Lowland,1276.0,Bangladesh,BD,BGD,Asia,0.0,6.0,Original,,POINT (89.17 23.18),23.0,89.0,N,E,11.0,10.0,1139.0,23.18,89.17
0.0,BANGLADESH,,0.0,0.0,626.370056,11.0,0.0,BD,BGD,25.0,0.0,0.0,24.0,24  0N,JOYDEBPUR,0.0,36,,90.42,90 25E,32.322224,0.0,,25.92,Wet Lowland,1289.0,Bangladesh,BD,BGD,Asia,0.0,5.0,Original,,POINT (90.42 24),24.0,90.0,N,E,0.0,25.0,1136.0,24.0,90.42
0.0,BANGLADESH,,0.0,0.0,620.27594,16.0,0.0,BD,BGD,12.0,0.0,0.0,24.12,24  7N,ISHURDI (2),0.0,33,,89.08,89  5E,32.544445,0.0,,25.26,Wet Lowland,1230.0,Bangladesh,BD,BGD,Asia,0.0,6.0,Original,,POINT (89.08 24.12),24.0,89.0,N,E,7.0,5.0,1151.0,24.12,89.08
0.0,BANGLADESH,,0.0,0.0,620.27594,16.0,0.0,BD,BGD,12.0,0.0,0.0,24.12,24  7N,ISHURDI,0.0,32,,89.08,89  5E,32.544445,0.0,,25.26,Wet Lowland,1230.0,Bangladesh,BD,BGD,Asia,0.0,6.0,Original,,POINT (89.08 24.12),24.0,89.0,N,E,7.0,5.0,1137.0,24.12,89.08
0.0,BANGLADESH,,0.0,0.0,635.125488,23.0,0.0,BD,BGD,8.0,0.0,0.0,24.37,24 22 N,BURIRHAT FARM,0.0,29,,88.6,88 36 E,32.877777,0.0,,25.219999,Wet Lowland,1173.0,Bangladesh,BD,BGD,Asia,0.0,6.0,Original,,POINT (88.59999999999999 24.37),24.0,88.0,N,E,22.0,36.0,1149.0,24.37,88.6
0.0,BANGLADESH,,0.0,0.0,643.16272,22.0,0.0,BD,BGD,42.0,0.0,0.0,24.93,24 56N,JAMALPUR,0.0,34,,89.95,89 57E,32.560001,0.0,,25.540001,Wet Lowland,1661.0,Bangladesh,BD,BGD,Asia,0.0,5.0,Original,,POINT (89.95 24.93),24.0,89.0,N,E,56.0,57.0,1138.0,24.93,89.95
0.0,BELIZE,,0.0,0.0,564.0,125.0,0.0,BZ,BLZ,0.0,0.0,0.0,16.23,16 14N,SAN PEDRO,0.0,43,,-89.0,89  0W,30.48,0.0,,23.16,Wet Lowland,2150.0,Belize,BZ,BLZ,Central America and Caribbean,0.0,7.0,Original,,POINT (-89 16.23),16.0,89.0,N,W,14.0,0.0,227.0,16.23,-89.0
0.0,BELIZE,,0.0,0.0,578.0,378.0,0.0,BZ,BLZ,0.0,0.0,0.0,17.0,17   N,CENTRAL FARM,0.0,42,,-89.0,89   W,29.32,0.0,,22.18,Wet Lower Mid-altitude,1835.0,Belize,BZ,BLZ,Central America and Caribbean,0.0,6.0,Original,,POINT (-89 17),17.0,89.0,N,W,0.0,0.0,225.0,17.0,-89.0
0.0,BOLIVIA,,0.0,0.0,679.0,837.0,0.0,BO,BOL,0.0,0.0,0.0,-21.45,21 27S,ALGARROBAL,0.0,45,,-63.65,63 39W,30.4,0.0,,18.199999,Dry Lowland,657.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-63.65 -21.45),21.0,63.0,S,W,27.0,39.0,62.0,-21.45,-63.65
0.0,BOLIVIA,,0.0,0.0,673.0,1244.0,0.0,BO,BOL,0.0,0.0,0.0,-19.87,19 52S,IBOPERENDA,0.0,56,,-63.77,63 46W,29.940001,0.0,,17.74,Dry Mid-altitude,586.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-63.77 -19.87),19.0,63.0,S,W,52.0,46.0,45.0,-19.87,-63.77
0.0,BOLIVIA,,0.0,0.0,650.0,1072.0,0.0,BO,BOL,0.0,0.0,0.0,-19.78,19 47S,CHARAGUA,0.0,48,,-63.23,63 14W,30.540001,0.0,,18.6,Dry Lowland,523.0,Bolivia,BO,BOL,South America,0.0,12.0,Original,,POINT (-63.23 -19.78),19.0,63.0,S,W,47.0,14.0,58.0,-19.78,-63.23
,BOLIVIA,,,,,2.0,,BO,BOL,,,,-19.1200008392334,19 07 S,ZUDAÑES,,1398,,-64.1999969482422,64 12 W,,,,,,,Bolivia,BO,BOL,South America,,,Original,,POINT (-64.1999969482422 -19.1200008392334),19.0,64.0,S,W,7.0,12.0,,-19.1200008392334,-64.1999969482422
0.0,BOLIVIA,,0.0,0.0,660.0,2332.0,0.0,BO,BOL,0.0,0.0,0.0,-19.12,19 07 S,ZUDA╤ES,0.0,76,,-64.2,64 12 W,28.360001,0.0,,16.719999,Dry Mid-altitude,546.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-64.2 -19.12),19.0,64.0,S,W,7.0,12.0,70.0,-19.12,-64.2
0.0,BOLIVIA,,0.0,0.0,636.0,1956.0,0.0,BO,BOL,0.0,0.0,0.0,-18.47,18 28 S,CHUQUISACA,0.0,49,,-64.47,64 28 W,25.74,0.0,,14.48,Dry Mid-altitude,494.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-64.47 -18.47),18.0,64.0,S,W,28.0,28.0,42.0,-18.47,-64.47
0.0,BOLIVIA,,0.0,0.0,614.0,2022.0,0.0,BO,BOL,0.0,0.0,0.0,-18.47,18 28 S,VALLEGRANDE,0.0,73,,-64.12,64 7 W,23.860001,0.0,,12.64,Highland,518.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-64.12 -18.47),18.0,64.0,S,W,28.0,7.0,67.0,-18.47,-64.12
0.0,BOLIVIA,,0.0,0.0,709.0,415.0,0.0,BO,BOL,0.0,0.0,0.0,-17.77,17 46S,EL VALLECITO,0.0,53,,-63.15,63  9W,31.299999,0.0,,20.959999,Dry Lowland,701.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-63.15 -17.77),17.0,63.0,S,W,46.0,9.0,47.0,-17.77,-63.15
0.0,BOLIVIA,,0.0,0.0,706.0,350.0,0.0,BO,BOL,0.0,0.0,0.0,-17.75,17 45 S,COTOCA,0.0,50,,-62.95,62 57 W,31.299999,0.0,,21.16,Dry Lowland,699.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-62.95 -17.75),17.0,62.0,S,W,45.0,57.0,69.0,-17.75,-62.95
0.0,BOLIVIA,,0.0,0.0,697.0,287.0,0.0,BO,BOL,0.0,0.0,0.0,-17.65,17 39 S,PAILON,0.0,61,,-62.65,62 39 W,31.280001,0.0,,21.08,Dry Lowland,668.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-62.65 -17.65),17.0,62.0,S,W,39.0,39.0,52.0,-17.65,-62.65
0.0,BOLIVIA,,0.0,0.0,690.0,280.0,0.0,BO,BOL,0.0,0.0,0.0,-17.57,17 34S,CA╤ADA LARGA,0.0,47,,-62.43,62 26W,31.32,0.0,,21.02,Dry Lowland,659.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-62.43 -17.57),17.0,62.0,S,W,34.0,26.0,65.0,-17.57,-62.43
,BOLIVIA,,,,,270.0,,BO,BOL,,,,-17.5699996948242,17 34S,CAÑADA LARGA,,1397,,-62.4300003051758,62 26W,,,,,,,Bolivia,BO,BOL,South America,,,Original,,POINT (-62.4300003051758 -17.5699996948242),17.0,62.0,S,W,34.0,26.0,,-17.5699996948242,-62.4300003051758
0.0,BOLIVIA,,0.0,0.0,592.0,2701.0,0.0,BO,BOL,0.0,0.0,0.0,-17.35,17 21S,PAIRUMANI,0.0,62,,-66.32,66 19W,22.9,0.0,,9.54,Highland,556.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-66.31999999999999 -17.35),17.0,66.0,S,W,21.0,19.0,43.0,-17.35,-66.32
0.0,BOLIVIA,,0.0,0.0,669.0,265.0,0.0,BO,BOL,0.0,0.0,0.0,-17.33,17 20 S,OKINAWA,0.0,60,,-62.08,62 05 W,31.4,0.0,,20.92,Dry Lowland,649.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-62.08 -17.33),17.0,62.0,S,W,20.0,5.0,50.0,-17.33,-62.08
0.0,BOLIVIA,,0.0,0.0,653.0,253.0,0.0,BO,BOL,0.0,0.0,0.0,-16.8,16 48 S,"SAN JULIAN, SANTA CRUZ",0.0,66,,-62.67,62 40 W,31.139999,0.0,,20.98,Dry Lowland,737.0,Bolivia,BO,BOL,South America,0.0,11.0,Original,,POINT (-62.67 -16.8),16.0,62.0,S,W,48.0,40.0,71.0,-16.8,-62.67
0.0,MYANMAR (BURMA),,0.0,0.0,655.778137,125.0,0.0,MM,MMR,25.0,0.0,0.0,23.03,23  2N,"YEZIN, BURMA",0.0,751,,95.47,95 28E,32.897778,0.0,,24.66,Dry Lowland,716.0,Burma,MM,MMR,Asia,0.0,6.0,Original,,POINT (95.47 23.03),23.0,95.0,N,E,2.0,28.0,1244.0,23.03,95.47
0.0,MYANMAR (BURMA),,0.0,0.0,623.67688,162.0,0.0,MM,MMR,7.0,0.0,0.0,20.13,20  8N,"AUNGBAN, BURMA",0.0,750,,96.15,96  9E,31.620001,0.0,,23.58,Dry Lowland,706.0,Burma,MM,MMR,Asia,0.0,6.0,Original,,POINT (96.15000000000001 20.13),20.0,96.0,N,E,8.0,9.0,1248.0,20.13,96.15
0.0,BENIN,,0.0,0.0,617.0,3.0,0.0,BJ,BEN,0.0,0.0,0.0,6.3704,,COTONOU,0.0,44,,2.3715,,31.2399997711,0.0,,23.4200000763,Dry Lowland,776.0,Benin,BJ,BEN,Western Africa,0.0,3.0,Original,,POINT (2.3715 6.3704),0.0,0.0,,,0.0,0.0,1951.0,6.3704,2.3715
0.0,BRAZIL,,0.0,0.0,347.0,722.0,0.0,BR,BRA,0.0,0.0,0.0,-24.93,24 56S,CASCAVEL,0.0,85,,-53.43,53 26W,23.1,0.0,,9.66,Highland,625.0,Brazil,BR,BRA,South America,0.0,5.0,Original,,POINT (-53.43 -24.93),24.0,53.0,S,W,56.0,26.0,74.0,-24.93,-53.43
0.0,BRAZIL,,0.0,0.0,417.0,241.0,0.0,BR,BRA,0.0,0.0,0.0,-24.08,24  5S,GUAIRA,0.0,87,,-54.25,54 15W,26.6,0.0,,14.18,Dry Mid-altitude,569.0,Brazil,BR,BRA,South America,0.0,3.0,Original,,POINT (-54.25 -24.08),24.0,54.0,S,W,5.0,15.0,89.0,-24.08,-54.25
0.0,BRAZIL,,0.0,0.0,617.0,785.0,0.0,BR,BRA,0.0,0.0,0.0,-21.32,21 19S,CRAVINHOS,0.0,86,,-47.75,47 45W,29.16,0.0,,18.219999,Wet Lower Mid-altitude,1075.0,Brazil,BR,BRA,South America,0.0,11.0,Original,,POINT (-47.75 -21.32),21.0,47.0,S,W,19.0,45.0,98.0,-21.32,-47.75
0.0,BRAZIL,,0.0,0.0,588.0,858.0,0.0,BR,BRA,0.0,0.0,0.0,-21.0,21  0S,JARDINOPOLIS,0.0,88,,-47.1,47  6W,27.6,0.0,,16.74,Wet Upper Mid-altitude,1186.0,Brazil,BR,BRA,South America,0.0,11.0,Original,,POINT (-47.1 -21),21.0,47.0,S,W,0.0,6.0,88.0,-21.0,-47.1
0.0,BRAZIL,,0.0,0.0,565.0,774.0,0.0,BR,BRA,0.0,0.0,0.0,-19.47,19 28S,SETE LAGOAS,0.0,89,,-44.25,44 15W,28.26,0.0,,17.26,Wet Lower Mid-altitude,1202.0,Brazil,BR,BRA,South America,0.0,11.0,Original,,POINT (-44.25 -19.47),19.0,44.0,S,W,28.0,15.0,73.0,-19.47,-44.25
0.0,CONGO,,0.0,0.0,0.0,0.0,0.0,CG,COG,,0.0,0.0,-4.01666688919067,,TSHIBATI - - - - KIBATI,0.0,1541,,12.1833333969116,,0.0,0.0,,0.0,,0.0,Congo,CG,COG,Eastern and Southern Africa,0.0,0.0,Original,,POINT (12.1833333969116 -4.01666688919067),0.0,0.0,,,0.0,0.0,,-4.01666688919067,12.1833333969116
0.0,CONGO,,692.0,0.0,528.0,688.0,0.0,CG,COG,0.0,0.0,0.0,-3.55,,ODZIBA,0.0,209,,15.516666,,29.059999,0.0,,19.719999,Wet Lower Mid-altitude,923.0,Congo,CG,COG,Eastern and Southern Africa,0.0,10.0,Original,,POINT (15.516666 -3.55),0.0,0.0,,,0.0,0.0,1892.0,-3.55,15.516666
316.0,ZAIRE,11 to 12.5,800.0,764.0,561.0,782.0,13.0,CD,COD,0.0,-7.0,23.95,-6.75,6 45S,GANDAJIKA,0.0,1019,,23.95,23 57E,29.799999,0.0,>= 24,18.359999,Wet Lower Mid-altitude,928.0,Democratic Republic of the Congo,CD,COD,Eastern and Southern Africa,28.0,11.0,Original,>= 600 and <2000,POINT (23.95 -6.75),6.0,23.0,S,E,45.0,57.0,1081.0,-6.75,23.95
316.0,ZAIRE,,538.0,544.0,548.0,430.0,13.0,CD,COD,0.0,-5.0,14.9,-5.45,5 27S,MVUAZI,0.0,1020,,14.9,14 54E,29.539999,0.0,,20.379999,Wet Lower Mid-altitude,903.0,Democratic Republic of the Congo,CD,COD,Eastern and Southern Africa,0.0,11.0,Original,,POINT (14.9 -5.45),5.0,14.0,S,E,27.0,54.0,1088.0,-5.45,14.9
984.0,BURUNDI,11 to 12.5,1260.0,1315.0,553.0,1241.0,23.0,BI,BDI,2.0,-4.0,30.07,-4.0,4  0S,MOSSO,0.0,94,,30.07,30  4E,26.08,0.0,<= 18,15.34,Wet Upper Mid-altitude,846.0,Burundi,BI,BDI,Eastern and Southern Africa,17.0,12.0,Original,>=200 and <600,POINT (30.07 -4),4.0,30.0,S,E,0.0,4.0,863.0,-4.0,30.07
0.0,BURUNDI,,0.0,0.0,547.0,1709.0,0.0,BI,BDI,0.0,0.0,0.0,-3.3731,,BURUNDI,0.0,93,,29.9189,,25.9400005341,0.0,,15.0199995041,Wet Upper Mid-altitude,729.0,Burundi,BI,BDI,Eastern and Southern Africa,0.0,12.0,Original,,POINT (29.9189 -3.3731),0.0,0.0,,,0.0,0.0,1948.0,-3.3731,29.9189
0.0,CHINA,,0.0,0.0,572.099854,863.0,0.0,CN,CHN,0.0,0.0,0.0,21.67,21 40 N,SIMAO,0.0,111,,101.4,101 24,28.440001,0.0,,20.34,Wet Lower Mid-altitude,1227.0,China,CN,CHN,Asia,0.0,6.0,Original,,POINT (101.4 21.67),21.0,101.0,N,E,40.0,24.0,1269.0,21.67,101.4
0.0,CHINA,,0.0,0.0,619.574158,124.0,0.0,CN,CHN,0.0,0.0,0.0,22.6,22 36N,GUANG-XI,0.0,100,,108.17,108 10E,31.228889,0.0,,24.16,,960.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (108.17 22.6),22.0,108.0,N,E,36.0,10.0,1259.0,22.6,108.17
0.0,CHINA,,0.0,0.0,619.574158,124.0,0.0,CN,CHN,0.0,0.0,0.0,22.6,22 36N,NANNING,0.0,108,,108.17,108 10E,31.228889,0.0,,24.16,,960.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (108.17 22.6),22.0,108.0,N,E,36.0,10.0,1258.0,22.6,108.17
0.0,CHINA,,0.0,0.0,595.700989,1294.0,0.0,CN,CHN,51.0,0.0,0.0,23.38,23 23 N,MONGZI,0.0,107,,103.38,103 23,27.506666,0.0,,18.6,Wet Upper Mid-altitude,704.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (103.38 23.38),23.0,103.0,N,E,23.0,23.0,1273.0,23.38,103.38
0.0,CHINA,,0.0,0.0,512.707703,1985.0,0.0,CN,CHN,0.0,0.0,0.0,23.7,100 02,LINCIANG,0.0,105,,100.03,23 42,24.74,0.0,,16.4,Wet Upper Mid-altitude,1049.0,China,CN,CHN,Asia,0.0,6.0,Original,,POINT (100.03 23.7),23.0,100.0,N,E,42.0,2.0,1270.0,23.7,100.03
0.0,CHINA,,0.0,0.0,581.654175,12.0,0.0,CN,CHN,18.0,0.0,0.0,24.5,24 30N,FUJIAN PROVINCE,0.0,99,,117.65,117 39E,28.900002,0.0,,21.039999,Highland,991.0,China,CN,CHN,Asia,0.0,4.0,Original,,POINT (117.65 24.5),24.0,117.0,N,E,30.0,39.0,1275.0,24.5,117.65
0.0,CHINA,,0.0,0.0,486.064453125,1983.0,0.0,CN,CHN,1.0,0.0,0.0,25.08062,,YUNNAN,0.0,113,,102.68681,,22.8199996948,0.0,,14.1400003433,Wet Upper Mid-altitude,779.0,China,CN,CHN,Asia,0.0,6.0,Original,,POINT (102.68681 25.08062),0.0,0.0,N,E,0.0,0.0,1262.0,25.08062,102.68681
0.0,CHINA,,0.0,0.0,491.004639,1935.0,0.0,CN,CHN,35.0,0.0,0.0,25.12,25  7N,KUNMING,0.0,104,,102.72,102 43E,23.066668,0.0,,14.1,Wet Upper Mid-altitude,778.0,China,CN,CHN,Asia,0.0,6.0,Original,,POINT (102.72 25.12),25.0,102.0,N,E,7.0,43.0,1257.0,25.12,102.72
0.0,CHINA,,0.0,0.0,531.732361,2073.0,0.0,CN,CHN,16.0,0.0,0.0,25.5,25 30 N,QUJIN,0.0,110,,103.67,103 40E,23.706667,0.0,,14.0,Wet Upper Mid-altitude,747.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (103.67 25.5),25.0,103.0,N,E,30.0,40.0,1272.0,25.5,103.67
0.0,CHINA,,0.0,0.0,537.708069,1875.0,0.0,CN,CHN,56.0,0.0,0.0,25.5,25 30 N,OIFIN,0.0,109,,103.8,103 48E,24.188889,0.0,,14.64,Wet Upper Mid-altitude,744.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (103.8 25.5),25.0,103.0,N,E,30.0,48.0,1271.0,25.5,103.8
0.0,CHINA,,0.0,0.0,593.964294,1160.0,0.0,CN,CHN,8.0,0.0,0.0,26.48,26 29N,GUI-YANG,0.0,101,,106.65,106 39E,27.104445,0.0,,18.040001,Wet Upper Mid-altitude,820.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (106.65 26.48),26.0,106.0,N,E,29.0,39.0,1261.0,26.48,106.65
0.0,CHINA,,0.0,0.0,578.679565,1349.0,0.0,CN,CHN,0.0,0.0,0.0,27.05,27  3N,BIJIE,0.0,97,,105.23,105 14E,25.846666,0.0,,15.48,Dry Mid-altitude,677.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (105.23 27.05),27.0,105.0,N,E,3.0,14.0,1265.0,27.05,105.23
0.0,CHINA,,0.0,0.0,591.095886,504.0,0.0,CN,CHN,11.0,0.0,0.0,30.67,30 40N,CHENGDU,0.0,98,,104.07,104  4E,27.775555,0.0,,19.32,Wet Lower Mid-altitude,778.0,China,CN,CHN,Asia,0.0,5.0,Original,,POINT (104.07 30.67),30.0,104.0,N,E,40.0,4.0,1260.0,30.67,104.07
0.0,CHINA,,0.0,0.0,,1712.0,0.0,CN,CHN,1.0,0.0,0.0,34.16182,,"JIALIZE, KUNMING, YUNNAN",0.0,103,,105.29297,,,0.0,,,,,China,CN,CHN,Asia,0.0,,Original,,POINT (105.29297 34.16182),0.0,0.0,,,0.0,0.0,1729.0,34.16182,105.29297
0.0,CHINA,,0.0,0.0,0.0,1551.0,0.0,CN,CHN,0.0,0.0,0.0,40.0,40 N,BEIJING,0.0,96,,105.0,105 E,0.0,0.0,,0.0,,0.0,China,CN,CHN,Asia,0.0,0.0,Original,,POINT (105 40),40.0,105.0,N,E,0.0,0.0,1268.0,40.0,105.0
0.0,AFGHANISTAN,,0.0,0.0,,1835.0,0.0,AF,AFG,33.0,0.0,0.0,34.48845,,DARUL AMAN,0.0,1,,69.20288,,,0.0,,,,,Afghanistan,AF,AFG,Asia,0.0,,Original,,POINT (69.20287999999999 34.48845),0.0,0.0,,,0.0,0.0,1753.0,34.48845,69.20288
0.0,AFGHANISTAN,,0.0,0.0,,1835.0,0.0,AF,AFG,33.0,0.0,0.0,34.48845,,QARA- BOGHE,0.0,4,,69.20288,,,0.0,,,,,Afghanistan,AF,AFG,Asia,0.0,,Original,,POINT (69.20287999999999 34.48845),0.0,0.0,,,0.0,0.0,1751.0,34.48845,69.20288
